id	name	north	south	east	west	high	low
13998	Mcgee Creek, California, USA	37.5993	37.5848	-118.783	-118.79	NULL	NULL
13999	Brandywine Falls Provincial Park, near Whistler, British Columbia, Canada	50.0401	50.0262	-123.104	-123.126	NULL	NULL
14000	Lafeyette Township, Pennsylvania, USA	41.8765	41.7891	-78.6621	-78.827	NULL	NULL
14001	Loggers Lake, Cheakamus, Whistler, British Columbia, Canada	50.066	50.0618	-123.035	-123.039	NULL	NULL
14002	Catskill Park, Big Indian, New York, USA	42.0262	42.0235	-74.4695	-74.4722	NULL	NULL
14003	New Milford, Connecticut, USA	41.6833	41.4924	-73.3431	-73.507	NULL	NULL
14004	Bee Tree Preserve, Maryland, USA	39.723	37.8895	-75.0492	-79.4876	NULL	NULL
14005	Cachoeiras de Macacu, Rio de janeiro, Brazil	-22.327	-22.5783	-42.5644	-42.746	NULL	NULL
14006	East Amwell Township, New Jersey, USA	40.4774	40.3952	-74.7725	-74.8566	NULL	NULL
14007	Woodlot Northwest of Tunney's Pasture, Ottawa, Ontario, Canada	45.4109	45.4005	-75.7406	-75.7538	NULL	NULL
14008	Woolastook, New Brunswick, Canada	45.8658	45.8631	-66.8988	-66.9015	NULL	NULL
14009	Restinga de Jacarépagua, Rio de Janeiro, Brazil	-23.0082	-23.0084	-43.3982	-43.3984	NULL	NULL
14010	Mile 32 Steese Highway, north of Fairbanks, Alaska, USA	64.9593	64.8685	-147.604	-147.677	NULL	NULL
14011	Kansas City, Missouri, USA	39.3567	38.8272	-94.3855	-94.7659	NULL	NULL
14012	Creve Coeur, Missouri, USA	38.6883	38.6419	-90.3736	-90.4716	NULL	NULL
14013	Western Brook, Gros Morne National Park, Newfoundland and Labrador, Canada	59.7757	53.5492	-61.4086	-67.8217	NULL	NULL
14014	Terra Nova National Park, Newfoundland and Labrador, Canada	48.6595	48.391	-53.6892	-54.2115	NULL	NULL
14015	Cape St. Mary's Ecological Reserve, Newfoundland and Labrador, Canada	46.8509	46.8144	-54.129	-54.199	NULL	NULL
14016	Edmundston, New Brunswick, Canada	47.4009	47.3379	-68.2938	-68.3959	NULL	NULL
14017	Collowash River, Clackamas Co., Oregon, USA	45.0212	44.9563	-122.014	-122.067	NULL	NULL
14018	Honeygo Run Regional Park, Perry Hall, Maryland, USA	39.398	39.3869	-76.4443	-76.4541	NULL	NULL
14019	NF 6380, Clackamas River Ranger District, Mount Hood National Forest, Clackamas Co., Oregon, USA	44.9256	44.8969	-122.004	-122.012	698.29	695
14020	Cofrin Nature Park, Gainesville, Florida, USA	29.6639	29.6596	-82.3934	-82.396	NULL	NULL
14021	Devil's Millhopper State Geological Park, Gainesville, Florida, USA	29.7109	29.7034	-82.393	-82.3974	NULL	NULL
14022	Golden Gate Heights Park, San Francisco, California, USA	37.7509	37.7491	-122.468	-122.471	NULL	NULL
14023	Poznań, Wielkopolskie, Poland	52.4681	52.334	17.0335	16.8195	NULL	NULL
14024	Santa Rita de Jacutinga, Minas Gerais, Brazil	-22.1369	-22.159	-44.0852	-44.1003	NULL	NULL
14025	Wooster, Ohio, USA	40.8167	40.7861	-81.9052	-81.9422	NULL	NULL
14026	Rietvalleirand Small Holdings, Pretoria, Gauteng, South Africa	-25.6902	-26.0045	28.5046	28.0099	NULL	NULL
14027	Golf Club, Thiruvananthapuram, India	8.61276	8.3867	77.007	76.8417	NULL	NULL
14028	Kumarakom Bird Sanctuary, Kottayam, India	9.63106	9.62837	76.4251	76.4224	NULL	NULL
14029	Punchakkarry, Thiruvananthapuram, India	8.4587	8.44728	76.9776	76.9653	NULL	NULL
14030	Kottoor, Thiruvananthapuram, Kerala, India	8.56976	8.56493	77.141	77.1362	NULL	NULL
14031	Gavi, Pathanamthitta, Kerala, India	9.45617	9.41875	77.1788	77.1429	NULL	NULL
14032	West of Columbia, Boone Co., Missouri, USA	39.03	38.8672	-92.4253	-92.5338	NULL	NULL
14033	Sand Creek Conservation Area, Macon Co., Illinois, USA	39.7913	39.7773	-88.9326	-88.9549	NULL	NULL
14034	Priest River, Idaho, USA	48.2252	48.1549	-116.849	-116.976	NULL	NULL
14035	Schucks Regional Park, Bel Air, Maryland, USA	39.5458	39.5407	-76.2786	-76.287	NULL	NULL
14036	Amanda, Ohio, USA	39.6727	39.6302	-82.7074	-82.7885	NULL	NULL
14037	Annandale-on-Hudson, New York, USA	42.0334	42.0096	-73.8997	-73.9202	NULL	NULL
14038	Riverside Park, New York Co., New York, USA	40.8173	40.7748	-73.9604	-73.9917	NULL	NULL
14039	Rosen Shingle Creek Resort, Orlando, Florida, USA	28.4308	28.422	-81.4319	-81.4421	NULL	NULL
14040	Delaware State Park, Delaware, Ohio, USA	40.4144	40.363	-83.0497	-83.0736	NULL	NULL
14041	Millersville, Maryland, USA	39.1339	39.1113	-76.6167	-76.6397	NULL	NULL
14042	Worthington, Massachusetts, USA	42.529	42.4115	-72.798	-72.9265	NULL	NULL
14043	Penn Forest Road N, Pennsylvania, USA	40.9249	40.9062	-75.5405	-75.5629	NULL	NULL
14044	PA State Game Lands 141, Pennsylvania, USA	40.9099	40.8756	-75.7863	-75.8216	NULL	NULL
14045	Morrell Nature Sanctuary, Nanaimo, British Columbia, Canada	49.1673	49.1448	-123.974	-124.022	NULL	NULL
14046	Cockaponset State Forest, Connecticut, USA	41.4964	41.3434	-72.4219	-72.5646	NULL	NULL
14047	Sierra del Laurel, Aguascalientes, Mexico	21.8082	21.7395	-102.644	-102.766	NULL	NULL
14048	Jockey Hollow, Morristown National Historical Park, New Jersey, USA	40.7691	40.7589	-74.523	-74.5437	NULL	NULL
14049	Bergen Co., New Jersey, USA	41.1339	40.7621	-73.9024	-74.2725	NULL	NULL
14050	Top Spur Trail, Zigzag Ranger District, Mount Hood National Forest, Clackamas Co., Oregon, USA	45.4271	45.4072	-121.781	-121.797	NULL	NULL
14051	Santa Fe National Forest, Santa Fe Co., New Mexico, USA	36.0024	35.04	-105.714	-106.249	NULL	NULL
14052	Larsen Park, San Francisco, California, USA	37.7411	37.7375	-122.475	-122.477	NULL	NULL
14053	PA State Game Lands 260, Pennsylvania, USA	41.1381	41.1141	-76.173	-76.203	NULL	NULL
14054	Sourland Mountain Preserve, Somerset Co, New Jersey, USA	40.4786	40.4587	-74.693	-74.7116	156	NULL
14055	UCSC, Arboretum - Botanical Gardens, Santa Cruz, California, USA	37.0108	36.948	-121.997	-122.12	NULL	NULL
14056	Oderberg, Brandenburg, Germany	52.9013	52.8987	14.0843	14.0817	NULL	NULL
14057	Wilmington, Vermont, USA	42.9268	42.8265	-72.7986	-72.926	NULL	NULL
14058	Thompson Creek Trail, Pisgah National Forest, North Carolina, USA	35.3893	35.3827	-82.7466	-82.7529	3500	3500
14059	Pancake Rocks, New Zealand	-42.0236	-42.1289	171.397	171.328	NULL	NULL
14061	Suffolk Co., New York, USA	41.2924	40.6094	-71.8562	-73.4971	NULL	NULL
14062	Dry Fork, West Virginia, USA	39.155	38.801	-79.278	-79.7257	NULL	NULL
14063	Neamț Citadel, Târgu Neamț, Romania	47.2214	47.2054	26.3732	26.327	NULL	NULL
14064	Rio Azul Jungle Lodge, Pará, Brazil	-9.2453	-9.248	-55.9866	-55.9893	NULL	NULL
14065	Village Museum, Bucharest, Romania	44.4771	44.4714	26.0792	26.0744	NULL	NULL
14066	Tsarevets Fortress, VelikoTarnovo, Bulgaria	43.0852	43.0825	25.6533	25.6506	NULL	NULL
14067	Verona, New Jersey, USA	40.8511	40.8161	-74.221	-74.2643	NULL	NULL
14068	Verona Park, Essex Co., New Jersey, USA	40.8314	40.8234	-74.2426	-74.251	NULL	NULL
14069	Botanical Garden, Cluj-Napoca, Romania	46.7628	46.7591	23.5901	23.5862	NULL	NULL
14070	Rancho del Cielo, Tamaulipas, Mexico	23.1	23.1	-99.1943	-99.1943	1180	1180
14071	Two Brooks, New York, USA	44.5828	44.5544	-73.948	-73.989	NULL	NULL
14072	Nelson Co., Virginia, USA	38.0476	37.5356	-78.6409	-79.1719	NULL	NULL
14073	Apache National Forest, Apache Co., Arizona, USA	36.9994	33.4754	-109.045	-110.001	NULL	NULL
14074	Gouldsboro, Wayne Co., Pennsylvania, USA	41.2539	41.2361	-75.4323	-75.4559	NULL	NULL
14075	Springvale, Maine, USA	43.4868	43.4519	-70.771	-70.8326	NULL	NULL
14076	Landgoed De Horsten, Wassenaar, Zuid-Holland, Netherlands	52.1322	52.1234	4.41837	4.39704	NULL	NULL
14077	Königsheide, Berlin, Germany	52.4515	52.4473	13.5029	13.4861	NULL	NULL
14078	Kijfhoek, Wassenaar, Zuid-Holland, Netherlands	52.1464	52.1393	4.3664	4.35084	NULL	NULL
14079	Lehigh Pond, Wayne Co., Pennsylvania, USA	41.2647	41.2606	-75.4205	-75.4229	NULL	NULL
14080	Royalston State Forest, Massachusetts, USA	42.7203	42.6982	-72.223	-72.2473	NULL	NULL
14081	Washington Valley Park, Somerset Co., New Jersey, USA	40.6021	40.5774	-74.5415	-74.5837	109	60
14082	Paragon, Indiana, USA	39.3983	39.3831	-86.5546	-86.5704	243	152
14083	Morgan Co., Indiana, USA	39.6336	39.3383	-86.2497	-86.6876	NULL	NULL
14084	Pretoria, Gauteng, South Africa	-25.6585	-25.9727	28.5415	28.0468	NULL	NULL
14085	Sand Mountain, Eldoardo National Forest, El Dorado Co., California, USA	38.9093	38.8533	-120.635	-120.687	NULL	NULL
14086	Galloway, New Jersey, USA	39.5739	39.4018	-74.3116	-74.6729	NULL	NULL
14087	Ferry Bluff Unit, Lower Wisconsin State Riveway, Wisconsin, USA	43.2167	43.2004	-89.8339	-89.853	NULL	NULL
14088	Mount Carleton Provincial Park, New Brunswick, Canada	47.419	47.4163	-66.8935	-66.8962	NULL	NULL
14090	Mineral Point, Wisconsin, USA	42.8794	42.8452	-90.1572	-90.21	NULL	NULL
14091	near High Ridge Lookout, Union Co., Oregon, USA	45.684	45.682	-118.119	-118.121	4900	NULL
14092	Shandon, California, USA	35.6662	35.6406	-120.359	-120.414	NULL	NULL
14093	Sabino Canyon, Pima Co., Arizona, USA	32.2689	32.2653	-110.841	-110.844	NULL	NULL
14094	Skaneateles Conservation Area, Marcellus, New York, USA	42.9804	42.9574	-76.3685	-76.3981	NULL	NULL
14096	Watatic Mountain State Wildlife Area, Ashburnham, Massachusetts, USA	42.7177	42.692	-71.8784	-71.9205	NULL	NULL
14097	Fitchburg State University, Fitchburg, Massachusetts, USA	42.5924	42.5878	-71.7863	-71.7909	NULL	NULL
14098	Bloomfield, New Jersey, USA	40.8228	40.768	-74.1721	-74.2038	NULL	NULL
14099	Minneapolis, Hennepin Co., Minnesota, USA	45.0513	44.8901	-93.1938	-93.3292	NULL	NULL
